Id,SalePrice
2658,151079.04031659532
2718,189908.02176469844
2414,182833.65015082754
1989,107632.55752000888
625,176555.3863353145
333,94487.30943958911
1327,116665.24849808853
858,153720.5562655598
95,190631.06491536117
1568,164813.1808535432
2482,141171.22932125657
1364,115200.35640701963
2584,162778.0396390657
818,243222.9052519165
2673,158082.4721553768
2089,110787.51646165342
1297,140360.8349195476
790,126368.49847871112
2616,187651.5243667086
720,169273.779775639
222,132964.5113899012
557,126928.57397526201
1148,175313.50918507966
2766,166499.43819549377
534,186471.88574160216
1452,121703.88838276133
630,127958.08365429653
2648,112393.92163985844
125,158012.2775287518
1904,69552.84459828281
1670,123299.00975248346
756,104283.18144757226
717,211492.73036561298
1032,141496.40998840978
852,215638.5399767236
1731,181434.41119333595
2639,126511.27315762895
2071,89186.26995654937
1267,95010.39930696638
1851,211969.36338941945
567,151292.09415699076
2439,207596.735927252
1898,152352.77418042006
647,141455.55770022137
2256,194978.90817406075
979,93368.33887375488
1444,213688.43234636873
2485,114767.54375932032
157,118052.10391394462
88,130158.8071910741
2003,108634.98102173506
186,191392.58903996582
1425,260276.2856799104
2695,117768.09143964948
738,112496.60070277491
395,141340.11739502638
1353,169806.64813321386
1878,147787.79176666657
390,163625.26501361403
1456,221800.4305240632
1103,317517.6906012803
1387,118207.36152508017
2070,146750.4568254397
1199,174339.57124887043
2479,172789.62931700845
501,319934.769220603
2362,104173.98969192916
1718,188056.1527859595
2188,67004.33891280871
1483,121945.14925790884
2557,94726.39555640388
437,321609.8932235939
2224,231561.27493451964
1628,170551.96661342747
397,139062.22477399447
587,199398.68537542023
2182,578799.2323806598
971,140444.71650924688
2611,149868.84120537728
1887,89949.00540083194
2399,372074.9245567571
2148,209158.02176931733
304,107570.36860787457
1997,118467.08920752999
2817,112766.65946532607
1431,207210.78082033154
427,340970.98076767084
263,126361.6979194651
598,186460.73446719692
2895,265850.8180039404
687,149420.57864377188
1822,125173.26842237994
2191,100139.6453722215
179,118735.87215053692
1009,227209.39841677042
2010,120282.40139748069
1991,140730.4465621162
1411,161000.13010832184
1721,244395.00117075042
1144,186588.8131503384
593,215066.96172884534
575,269204.7387958064
1249,187749.37983423597
1604,127351.91724719197
1064,471095.48535953695
1923,150584.05243845613
1988,90876.8341065205
2325,169610.246277759
114,190617.3917073411
2700,186700.02220452047
217,154355.70009919815
343,190597.71647463602
386,255173.3910866226
2005,107343.44261897958
2908,148702.816373602
1814,203201.28049599423
2446,522212.949190532
208,121984.28163002292
1679,117334.86924412602
822,334741.9465862172
